,,Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),,
2014,Mar,155.2,149.8, 0.78 , 7.8 , 8.2 ,154.7,149.9, 0.4 , 6.8 , 7.0 ,158.0,151.3, 1.0 , 9.3 , 9.5 ,,Mar
2014,Apr,156.2,150.7, 0.62 , 7.9 , 8.1 ,155.3,150.8, 0.4 , 7.5 , 7.0 ,159.3,152.5, 0.8 , 9.4 , 9.4 ,,Apr
2014,May,157.4,151.7, 0.78 , 8.0 , 8.0 ,156.3,151.8, 0.6 , 7.7 , 7.2 ,160.6,153.7, 0.8 , 9.7 , 9.4 ,,May
2014,Jun,158.6,152.7, 0.77 , 8.2 , 8.0 ,157.4,152.8, 0.7 , 8.1 , 7.4 ,161.9,154.9, 0.8 , 9.8 , 9.5 ,,Jun
2014,Jul,159.7,153.7, 0.65 , 8.3 , 8.0 ,157.7,153.6, 0.2 , 7.1 , 7.4 ,163.1,156.1, 0.8 , 9.9 , 9.5 ,,Jul
2014,Aug,160.4,154.8,0.5,8.5,8.0,158.4,154.4,0.4,6.3,7.33,164.0,157.3,0.6,9.96,9.48,,Aug
2014,Sep,161.3,155.8,0.6,8.3,8.0,159.4,155.2,0.6,6.3,7.23,165.0,158.5,0.6,9.68,9.50,,Sep
2014,Oct,162.1,156.8,0.5,8.1,8.0,160.3,156.0,0.6,6.3,7.12,165.8,159.7,0.5,9.34,9.51,,Oct
2014,Nov,163.1,157.8,0.6,7.9,8.0,161.3,156.8,0.6,6.3,6.99,166.8,160.9,0.6,9.14,9.49,,Nov
2014,Dec,164.4,158.8,0.8,8.0,8.0,162.5,157.6,0.8,6.2,6.85,168.4,162.1,0.9,9.15,9.48,,Dec
2015,Jan,165.8,159.9,0.8,8.2,8.1,163.7,158.4,0.7,6.8,6.86,169.8,163.3,0.9,9.21,9.47,,15-Jan
2015,Feb,166.9,160.9,0.7,8.4,8.1,164.8,159.3,0.7,7.0,6.85,171.1,164.5,0.7,9.36,9.49,,Feb
2015,Mar,168.4,162.0,0.9,8.5,8.2,166.2,160.3,0.8,7.5,6.91,172.8,165.7,1.0,9.38,9.49,,Mar
2015,Apr,169.7,163.2,0.8,8.7,8.2,167.2,161.3,0.6,7.7,6.92,174.4,167.0,0.9,9.49,9.50,,Apr
2015,May,171.6,164.3,1.1,9.0,8.3,169.2,162.4,1.2,8.3,6.97,176.3,168.3,1.1,9.78,9.51,,May
2015,Jun,173.2,165.5,0.9,9.2,8.4,170.6,163.5,0.8,8.4,7.01,178.1,169.6,1.1,10.04,9.53,,Jun
2015,Jul,174.4,166.8,0.7,9.2,8.5,171.6,164.6,0.6,8.8,7.15,179.5,171.0,0.8,10.05,9.55,,Jul
2015,Aug,175.4,168.0,0.6,9.3,8.6,172.7,165.8,0.6,9.0,7.38,180.6,172.4,0.6,10.13,9.57,,Aug
2015,Sep,176.5,169.3,0.6,9.4,8.7,173.7,167.0,0.6,8.9,7.61,181.8,173.8,0.6,10.17,9.61,,Sep
2015,Oct,177.2,170.5,0.4,9.3,8.8,174.4,168.2,0.4,8.7,7.81,182.6,175.2,0.5,10.13,9.68,,Oct
2015,Nov,178.4,171.8,0.7,9.37,8.9,175.3,169.3,0.6,8.7,8.02,184.1,176.6,0.8,10.32,9.78,,Nov
2015,Dec,180.1,173.1,1.0,9.55,9.0,176.7,170.5,0.8,8.7,8.22,186.2,178.1,1.2,10.59,9.90,,Dec
2016,Jan,181.7,174.5,0.9,9.62,9.1,178.2,171.7,0.8,8.8,8.39,187.9,179.6,0.9,10.64,10.02,,16-Jan
2016,Feb,185.9,176.0,2.3,11.38,9.4,183.0,173.2,2.7,11.0,8.73,190.5,181.2,1.4,11.35,10.18,,Feb
2016,Mar,189.9,177.8,2.2,12.77,9.8,186.4,174.9,1.9,12.2,9.13,194.9,183.1,2.3,12.74,10.47,,Mar
2016,Apr,193.0,179.8,1.6,13.72,10.2,189.5,176.8,1.7,13.4,9.61,197.4,185.0,1.3,13.19,10.79,,Apr
2016,May,198.3,182.0,2.8,15.58,10.7,194.7,178.9,2.7,15.1,10.20,202.5,187.2,2.6,14.86,11.22,,May
2016,Jun,201.7,184.4,1.71,16.48,11.4,198.3,181.2,1.83,16.2,10.86,205.4,189.4,1.44,15.30,11.67,,Jun
2016,Jul,204.2,186.9,1.25,17.13,12.0,200.7,183.6,1.22,16.9,11.55,207.9,191.8,1.21,15.80,12.16,,Jul
2016,Aug,206.3,189.4,1.01,17.61,12.7,202.4,186.1,0.85,17.2,12.25,210.3,194.3,1.17,16.43,12.70,,Aug
2016,Sep,208.0,192.1,0.81,17.85,13.5,204.3,188.7,0.96,17.7,12.98,212.0,196.8,0.81,16.62,13.24,,Sep
2016,Oct,209.7,194.8,0.83,18.33,14.2,205.9,191.3,0.75,18.1,13.76,213.8,199.4,0.86,17.09,13.82,,Oct
2016,Nov,211.3,197.5,0.78,18.48,15.0,207.3,194.0,0.71,18.2,14.54,215.7,202.0,0.88,17.19,14.39,,Nov
2016,Dec,213.6,200.3,1.06,18.55,15.7,208.6,196.6,0.62,18.1,15.31,218.6,204.7,1.33,17.39,14.95,,Dec
2017,Jan,215.7,203.1,1.01,18.72,16.4,210.0,199.3,0.68,17.9,16.04,221.4,207.5,1.29,17.82,15.54,,17-Jan
2017,Feb,218.9,205.9,1.49,17.78,17.0,212.3,201.7,1.10,16.0,16.44,225.8,210.5,1.99,18.53,16.13,,Feb
2017,Mar,222.7,208.6,1.72,17.26,17.3,215.1,204.1,1.32,15.4,16.68,230.8,213.5,2.21,18.44,16.60,,Mar
2017,Apr,226.3,211.4,1.60,17.24,17.6,217.5,206.4,1.10,14.8,16.77,235.5,216.6,2.04,19.30,17.11,,Apr
2017,May,230.5,214.1,1.88,16.25,17.63,220.0,208.5,1.17,13.0,16.57,241.5,219.9,2.54,19.27,17.48,,May
2017,Jun,234.2,216.8,1.58,16.10,17.58,223.0,210.6,1.32,12.5,16.22,246.3,223.3,1.99,19.91,17.87,,Jun
2017,Jul,237.0,219.5,1.21,16.05,17.47,225.2,212.6,1.00,12.2,15.80,250.0,226.8,1.52,20.28,18.25,,Jul
2017,Aug,239.3,222.3,0.97,16.01,17.33,227.3,214.7,0.93,12.3,15.37,252.9,230.4,1.14,20.25,18.57,,Aug
2017,Sep,241.2,225.0,0.78,15.98,17.17,229.1,216.8,0.80,12.1,14.90,255.1,233.9,0.87,20.32,18.88,,Sep
2017,Oct,243.0,227.8,0.76,15.91,16.97,230.9,218.9,0.76,12.1,14.41,257.2,237.6,0.85,20.31,19.14,,Oct
2017,Nov,244.9,230.6,0.78,15.90,16.76,232.6,221.0,0.77,12.2,13.93,259.5,241.2,0.88,20.31,19.39,,Nov
2017,Dec,246.4,233.4,0.59,15.37,16.50,233.8,223.1,0.51,12.1,13.46,261.0,244.8,0.58,19.42,19.55,,Dec
2018,Jan,248.4,236.1,0.80,15.13,16.22,235.4,225.2,0.68,12.1,13.01,263.3,248.2,0.87,18.92,19.62,,18-Jan
2018,Feb,250.3,238.7,0.79,14.33,15.93,237.2,227.3,0.75,11.7,12.67,265.5,251.6,0.85,17.59,19.52,,Feb
2018,Mar,252.4,241.2,0.84,13.34,15.60,239.2,229.3,0.84,11.2,12.33,267.9,254.6,0.90,16.08,19.29,,Mar
2018,Apr,254.5,243.5,0.83,12.48,15.20,241.3,231.2,0.87,10.9,12.02,270.4,257.5,0.91,14.80,18.89,,Apr
2018,May,257.3,245.7,1.09,11.61,14.79,243.6,233.2,0.98,10.7,11.83,273.9,260.3,1.33,13.45,18.36,,May
2018,June,260.5,247.9,1.24,11.23,14.37,246.1,235.1,1.03,10.4,11.65,278.2,262.9,1.57,12.98,17.75,,June
2018,July,263.4,250.1,1.13,11.14,13.95,248.1,237.1,0.81,10.2,11.48,282.2,265.6,1.40,12.85,17.10,,July
2018,August,266.2,252.4,1.05,11.23,13.55,250.1,239.0,0.78,10.0,11.28,286.2,268.4,1.42,13.16,16.50,,August
2018,September,268.4,254.6,0.84,11.28,13.16,251.7,240.8,0.64,9.8,11.09,289.0,271.2,1.00,13.31,15.92,,September
2018,October,270.4,256.9,0.74,11.26,12.78,253.7,242.7,0.80,9.9,10.90,291.4,274.0,0.82,13.28,15.36,,October
2018,November,272.6,259.2,0.80,11.28,12.41,255.4,244.6,0.68,9.8,10.70,294.0,276.9,0.90,13.30,14.80,,November
2018,December,274.6,261.6,0.74,11.44,12.10,256.7,246.5,0.50,9.8,10.51,296.4,279.9,0.81,13.56,14.35,,December
2019,January,276.6,263.9,0.74,11.37,11.80,258.8,248.5,0.81,9.9,10.34,298.9,282.8,0.83,13.51,13.93,,January
2019,February,278.6,266.3,0.73,11.31,11.56,260.4,250.4,0.65,9.8,10.19,301.3,285.8,0.82,13.47,13.62,,February
2019,March,280.8,268.7,0.79,11.25,11.40,261.8,252.3,0.53,9.5,10.04,303.9,288.8,0.88,13.45,13.42,,March
2019,April,283.5,271.1,0.94,11.37,11.31,263.7,254.2,0.70,9.3,9.91,307.4,291.9,1.14,13.70,13.34,,April
2019,May,286.6,273.5,1.11,11.40,11.299,265.6,256.0,0.75,9.0,9.77,311.7,295.1,1.41,13.79,13.37,,May
2019,June,289.7,275.9,1.07,11.22,11.297,267.9,257.8,0.85,8.84,9.64,316.0,298.2,1.36,13.56,13.42,,June
2019,July,292.6,278.4,1.01,11.08,11.291,270.0,259.6,0.77,8.80,9.52,319.9,301.3,1.26,13.39,13.46,,July
2019,August,295.5,280.8,0.99,11.02,11.271,271.8,261.4,0.67,8.68,9.41,323.9,304.5,1.22,13.17,13.46,,August
2019,September,298.6,283.3,1.04,11.24,11.27,274.2,263.3,0.89,8.94,9.34,328.1,307.7,1.30,13.51,13.47,,September
2019,October,301.8,286.0,1.07,11.61,11.30,276.2,265.2,0.74,8.88,9.25,332.4,311.2,1.33,14.09,13.54,,October
2019,November,304.9,288.6,1.02,11.85,11.35,278.4,267.1,0.79,8.99,9.19,336.6,314.7,1.25,14.48,13.65,,November
2019,December,307.5,291.4,0.85,11.98,11.40,280.6,269.1,0.81,9.33,9.15,339.9,318.3,0.97,14.67,13.74,,December
2020,January,310.2,294.2,0.87,12.13,11.46,282.9,271.1,0.82,9.35,9.11,343.2,322.0,0.99,14.85,13.86,,January
2020,February,312.6,297.0,0.79,12.20,11.54,285.0,273.2,0.73,9.43,9.09,346.2,325.8,0.87,14.90,13.98,,February
2020,March,315.2,299.9,0.84,12.26,11.62,287.3,275.3,0.80,9.73,9.11,349.5,329.6,0.94,14.98,14.11,,March
2020,April,318.4,302.8,1.02,12.34,11.71,290.0,277.5,0.93,9.98,9.17,353.6,333.4,1.18,15.03,14.22,,April
2020,May,322.2,305.8,1.17,12.40,11.79,292.5,279.7,0.88,10.12,9.27,358.6,337.3,1.42,15.04,14.33,,May
2020,June,326.1,308.8,1.21,12.56,11.90,295.0,282.0,0.86,10.13,9.37,363.9,341.3,1.48,15.18,14.46,,June
2020,July,330.1,311.9,1.25,12.82,12.05,297.2,284.3,0.75,10.10,9.48,369.5,345.4,1.52,15.48,14.63,,July
2020,August,334.6,315.2,1.34,13.22,12.23,300.3,286.6,1.05,10.52,9.64,375.7,349.8,1.67,16.00,14.87,,August
2020,September,339.5,318.6,1.48,13.71,12.44,303.2,289.1,0.94,10.58,9.77,382.7,354.3,1.88,16.66,15.13,,September
2020,October,344.7,322.2,1.54,14.23,12.66,307.0,291.6,1.25,11.14,9.96,390.2,359.1,1.96,17.38,15.42,,October
2020,November,350.3,325.9,1.60,14.89,12.92,309.1,294.2,0.71,11.05,10.14,398.2,364.3,2.04,18.30,15.75,,November
2020,December,355.9,330.0,1.61,15.75,13.25,312.6,296.8,1.10,11.37,10.31,406.4,369.8,2.05,19.56,16.17,,December
2021,January,361.2,334.2,1.49,16.47,13.62,316.5,299.6,1.26,11.85,10.52,413.8,375.7,1.83,20.57,16.66,,January
2021,February,366.8,338.8,1.54,17.33,14.05,320.3,302.6,1.21,12.38,10.77,421.6,382.0,1.89,21.79,17.25,,February
2021,March,372.5,343.5,1.56,18.17,14.55,323.7,305.6,1.06,12.67,11.01,429.7,388.7,1.90,22.95,17.93,,March
2021,April,376.1,348.3,0.97,18.12,15.04,326.9,308.7,0.99,12.74,11.25,433.9,395.3,0.99,22.72,18.58,,April
2021,May,379.9,353.2,1.01,17.93,15.50,331.0,311.9,1.24,13.15,11.50,438.5,402.0,1.05,22.28,19.18,,May
2021,June,384.0,358.0,1.06,17.75,15.93,333.6,315.1,0.81,13.09,11.75,443.4,408.6,1.11,21.83,19.72,,June
2021,July,387.5,362.8,0.93,17.38,16.30,338.0,318.5,1.31,13.72,12.05,447.2,415.1,0.86,21.03,20.16,,July
2021,August,391.5,367.5,1.02,17.01,16.60,340.6,321.9,0.77,13.41,12.29,451.9,421.5,1.06,20.30,20.50,,August
2021,September,396.0,372.2,1.15,16.63,16.83,344.8,325.3,1.24,13.74,12.55,457.6,427.7,1.26,19.57,20.71,,September
2021,October,399.9,376.8,0.98,15.99,16.96,347.6,328.7,0.80,13.24,12.73,461.8,433.7,0.91,18.34,20.75,,October
2021,November,404.2,381.3,1.08,15.40,16.98,352.0,332.3,1.26,13.85,12.96,466.7,439.4,1.07,17.21,20.62,,November
2021,December,411.5,385.9,1.82,15.63,16.95,355.9,335.9,1.12,13.87,13.16,477.0,445.3,2.19,17.37,20.40,,December
2022,January,417.6,390.6,1.47,15.60,16.87,360.4,339.6,1.25,13.87,13.33,484.7,451.2,1.62,17.13,20.09,,January
2022,February,424.4,395.4,1.63,15.70,16.73,365.2,343.3,1.33,14.01,13.46,493.8,457.2,1.87,17.11,19.69,,February
2022,March,431.8,400.4,1.74,15.92,16.54,368.8,347.1,0.98,13.91,13.56,503.6,463.3,1.99,17.20,19.21,,March
2022,April,439.4,405.6,1.76,16.82,16.45,373.3,350.9,1.22,14.18,13.68,513.6,470.0,2.00,18.37,18.88,,April
2022,May,447.2,411.2,1.78,17.71,16.45,380.3,355.0,1.87,14.90,13.83,524.0,477.1,2.01,19.50,18.68,,May
2022,June,455.4,417.2,1.82,18.60,16.54,386.2,359.4,1.56,15.75,14.06,534.7,484.7,2.05,20.60,18.62,,June
2022,July,463.6,423.5,1.82,19.64,16.75,393.0,364.0,1.75,16.26,14.28,545.6,492.9,2.04,22.02,18.75,,July
2022,August,471.8,430.2,1.77,20.52,17.07,399.2,368.9,1.59,17.20,14.60,556.4,501.6,1.98,23.12,19.02,,August
2022,September,478.2,437.1,1.36,20.77,17.43,405.5,373.9,1.59,17.60,14.93,564.4,510.5,1.43,23.34,19.36,,September
2022,October,484.2,444.1,1.24,21.09,17.86,409.3,379.1,0.93,17.76,15.31,571.3,519.6,1.23,23.72,19.83,,October
2022,November,490.9,451.3,1.39,21.47,18.37,416.2,384.4,1.67,18.24,15.69,579.3,529.0,1.40,24.13,20.41,,November
2022,December,499.4,458.7,1.71,21.34,18.85,421.7,389.9,1.33,18.49,16.08,590.2,538.5,1.89,23.75,20.94,,December
2023,January,508.7,466.3,1.87,21.82,19.36,429.4,395.7,1.82,19.16,16.52,602.5,548.3,2.08,24.32,21.53,,January
2023,February,517.4,474.0,1.71,21.91,19.87,434.0,401.4,1.06,18.84,16.92,614.0,558.3,1.90,24.35,22.12,,February
2023,March,527.0,481.9,1.86,22.04,20.37,442.0,407.5,1.84,19.86,17.41,626.7,568.6,2.07,24.45,22.72,,March
2023,April,537.0,490.1,1.91,22.22,20.82,448.4,413.8,1.46,20.14,17.91,640.0,579.1,2.13,24.61,23.22,,April
2023,May,547.5,498.4,1.94,22.41,21.20,456.5,420.1,1.81,20.06,18.33,654.1,589.9,2.19,24.82,23.65,,May
2023,June,559.1,507.1,2.13,22.79,21.54,464.5,426.6,1.74,20.27,18.71,669.7,601.2,2.40,25.25,24.03,,June